"Gene","term","contrast","null.value","estimate","conf.low","conf.high","adj.p.value"
"N","kMeansCluster","2-1",0,1.29589859711134,1.19402685887819,1.39777033534448,0
"N","kMeansCluster","3-1",0,-0.648345006189396,-0.745625779647035,-0.551064232731756,0
"N","kMeansCluster","3-2",0,-1.94424360330073,-2.03371551738599,-1.85477168921548,0
"ORF1ab","kMeansCluster","2-1",0,0.920159662415253,0.801799085642831,1.03852023918768,0
"ORF1ab","kMeansCluster","3-1",0,-0.891110058376317,-1.00420603459668,-0.778014082155953,0
"ORF1ab","kMeansCluster","3-2",0,-1.81126972079157,-1.91520451279849,-1.70733492878465,0
"S","kMeansCluster","2-1",0,2.01016308318103,1.90501062979897,2.11531553656308,0
"S","kMeansCluster","3-1",0,0.464694399778912,0.364353330848103,0.56503546870972,0
"S","kMeansCluster","3-2",0,-1.54546868340211,-1.6379386643983,-1.45299870240593,0
